label,calories,protein,carbohydrates,fat,fiber,sugars,sodium,cholesterol,water_intake,category,meal_type
Grilled Chicken Breast,165,31.0,0.0,3.6,0.0,0.0,74,85,200,PROTEIN,Lunch
Brown Rice,216,5.0,45.0,1.8,3.5,0.7,10,0,150,PROTEIN,Lunch
Banana,89,1.1,22.8,0.3,2.6,12.2,1,0,100,PROTEIN,Snack
Greek Yogurt,100,17.0,6.0,0.7,0.0,4.0,36,5,180,PROTEIN,Breakfast
Salmon Fillet,208,20.0,0.0,13.0,0.0,0.0,59,55,200,PROTEIN,Dinner
Broccoli,55,3.7,11.2,0.6,5.1,2.2,33,0,250,PROTEIN,Dinner
Oatmeal,154,5.0,27.0,2.5,4.0,1.0,2,0,200,PROTEIN,Breakfast
Almonds,579,21.0,22.0,49.9,12.5,4.4,1,0,50,PROTEIN,Snack
Egg,155,13.0,1.1,11.0,0.0,1.1,124,373,100,PROTEIN,Breakfast
Sweet Potato,86,1.6,20.1,0.1,3.0,4.2,55,0,200,PROTEIN,Lunch
Avocado,160,2.0,8.5,14.7,6.7,0.7,7,0,150,PROTEIN,Lunch
Quinoa,222,8.1,39.4,3.6,5.2,1.6,13,0,Dinner,PROTEIN,Dinner
